Line by line,Fiscal Year   ,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial
53,2024,ACE AMERICAN INSURANCE COMPANY CHUBB,1728,52 - Finance and Insurance,PHILADELPHIA,PA,19106,3,0,9,1
54,2024,ACHIEVE PARTNERS MANAGEMENT LLC,8553,52 - Finance and Insurance,NEW YORK,NY,10018,1,0,0,0
55,2024,ACHIEVE PROPERTIES,4064,52 - Finance and Insurance,AUSTIN,TX,78750,0,0,1,0
56,2024,ACORNS GROW INCORPORATED,6397,52 - Finance and Insurance,IRVINE,CA,92617,4,0,8,0
57,2024,ACSIA LONG TERM CARE INC,2578,52 - Finance and Insurance,FORT MYERS,FL,33919,0,0,1,0
58,2024,ACTIVEHOURS INC DBA EARNIN,5567,52 - Finance and Insurance,PALO ALTO,CA,94306,0,0,17,0
59,2024,ACTUARIAL MANAGEMENT CORPORATION,7839,52 - Finance and Insurance,LAGUNA NIGUEL,CA,92677,1,0,0,0
60,2024,ACTUARIAL MANAGEMENT CORPORATION,7839,52 - Finance and Insurance,PAHRUMP,NV,89048,1,0,0,0
61,2024,ADAMS STREET PARTNERS INC,4700,52 - Finance and Insurance,NEW YORK,NY,10020,0,0,1,0
62,2024,ADAMS STREET PARTNERS LLC,5178,52 - Finance and Insurance,CHICAGO,IL,60606,0,0,2,0
63,2024,ADENA PARTNERS MANAGEMENT LLC DBA NEST BIO VENTURES,1512,52 - Finance and Insurance,CAMBRIDGE,MA,2139,0,0,1,0
64,2024,ADENZA INC,7822,52 - Finance and Insurance,NEW YORK,NY,10036,3,0,3,0
65,2024,ADM INVESTOR SERVICES INC,5552,52 - Finance and Insurance,CHICAGO,IL,60604,1,0,0,0
66,2024,ADVANCED CONNECTIVITY LLC,4551,52 - Finance and Insurance,PLANO,TX,75024,0,0,3,0
67,2024,ADVANCED ENERGY CAPITAL LLC,1869,52 - Finance and Insurance,BROOKLYN,NY,11201,0,0,1,0
68,2024,ADVANTAGE CAPITAL CORPORATION,2990,52 - Finance and Insurance,NEW ORLEANS,LA,70112,3,0,0,0
69,2024,ADVENT INTERNATIONAL LP,139,52 - Finance and Insurance,BOSTON,MA,2199,0,0,2,0
70,2024,ADVENTIST HEALTH TEHACHAPI VALLEY,617,52 - Finance and Insurance,TEHACHAPI,CA,93561,0,0,1,0
71,2024,ADVISORS ASSET MANAGEMENT INC,2180,52 - Finance and Insurance,MONUMENT,CO,80132,0,0,1,0
